id,name,type,industry
IP_aa326da0ce3091617ac26d4ca1a1e4bf492d1218c38d2a9c73551ea48ff67ffe,45.200.xxx.xxx,IP,[]
Domain_3977be4c08410d7bd1ad003fc7c7145f425837e671a61c7fac2e322d00778e5f,3977be4c08.com,Domain,[]
IP_5afc5503ceee16f7e7d6c8c90392d66507aebd8d496243e565cda5c9dd82184d,103.206.xxx.xxx,IP,[]
IP_88ff1d58ba6c74b8b885f8be7dd46bb207255f1ca612ec2dcb08206bef76739f,103.206.xxx.xxx,IP,[]
ASN_d3a0896bd69ed12cf02c4c2c88f2cfe5c621f966dd95a24831427b77a87a0f08,AS_d3a0896bd6,ASN,[]
IP_CIDR_97d241d9890b81965ae7adde44779ecd03bd15773a67cce7250acc4022cb866d,103.206.xxx.0/24,IP_C,[]
Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee,649de7fe56.com,Domain,[]
IP_9ff61420e05e52cbebf987a4cb8b71bb51a5c25ea7222e5d77ffc9ed556fbc24,103.206.xxx.xxx,IP,[]
Domain_1091690bb832bf666240a9acb49c38f950833e15981896138d9128ae37f57cdd,1091690bb8.com,Domain,[]
IP_CIDR_982a4b68db05358145816dca7695aa1889c8502845bfca3ce334b412f1abf9ba,45.200.xxx.0/24,IP_C,[]
Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff,87646b0f3e,Cert,[]
IP_6b89dc91187023a5f7683e4d5c0da1cc133abc109dfcf7091daf6fca3fa15e13,168.63.xxx.xxx,IP,[]
ASN_6d8c74cdc77e30e975c44d322cd5bb8770b07802d55f716454adf5a1ef01fce2,AS_6d8c74cdc7,ASN,[]
